Station Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arghakhanchi (Khanchikot),6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bardia (Chishapani),7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rupandehi,Bhairahawa Agriculture",2.7,2.7,NA,NA,NA,NA,NA,NA,0.508,0.433,NA,NA
"Bhojpur,Bhojpur*",-,-,-,-,-,-,-,-,-,-,-,-
"Dadeldhura,Dadeldhura",3.4,2.9,2.6,2.6,2.8,NA,2.11,NA,0.116,NA,NA,NA
"Dhankuta,Pakhribas",1.2,1.3,N.A,0.9,N.A,NA,NA,NA,0.708,7.391,1.341,0.583
"Dhankuta, Dhankuta",3.9,3.5,3.2,3.3,3.1,2.9,2.51,2.54,1.859,1.616,NA,NA
Dolakha (Jiri),3.2,3.1,N.A,3,N.A,3.2,2.92,NA,3.383,2.025,1.325,1.367
"Doti, Dipayal",1.4,2,1.9,1.5,1.6,NA,NA,NA,NA,NA,1.025,1.575
"Ilam , Ilam Tea State",1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jhapa, Kankai Gaida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang,Jomsom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jumla,Jumla",5.4,5.6,5.3,4.6,4.8,4.4,4.16,,4.058,4.208,4.55,4.258
"Kailai, Dhangadhi",NA,NA,1.7,1.7,1.6,NA,NA,NA,NA,0.25,0.092,NA
"Kanchanpur,Mahendranagar",2.4,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaski ,Lumle",1.3,1.3,1.4,1.2,0.8,0.7,0.76,NA,NA,4.833,NA,NA
"Kathmandu ,Kathmandu Airport",0.8,NA,0.7,0.9,0.6,0.6,,NA,0.5,0.591,0.7,NA
"Lalitpur ,Khumaltar",3,3,3,3.2,3,3,2.68,NA,2.633,NA,2.558,2.483
"Kaski, Malepatan",0.3,0.3,0.4,0.3,0.2,0.28,NA,NA,0.991,NA,1.133,0.558
"Morang, Biratnagar Airport",1.8,NA,5.9,6.5,5,2.8,1.24,2.25,,NA,NA,NA
"Bhaktpur, Nagarkot",4.3,3.7,2.9,2.7,0.9,NA,NA,NA,1,0.9,0.766,0.775
"Banke, Nepalganj",2.8,2,1.9,1.5,1.6,NA,NA,NA,0.875,0.833,NA,NA
"Banke,Khajura",2.2,1.9,1.9,1.9,1.8,NA,NA,NA,NA,NA,NA,NA
"Banke, Sikta",1.9,1.5,0.6,0.8,0.6,NA,1.49,NA,NA,NA,1.241,NA
"Okhaldhunga,Okhaldhunga",2.7,4.3,4.3,3.8,2,2.3,2.03,4.76,4.008,3.15,2.983,NA
"Parsa, Parwanipur",2.5,1.7,0.7,1.3,-0.4,0.5,NA,NA,NA,0.47,NA,NA
"Kaski, Pokhara Airport",2.3,NA,1.9,2.1,2.3,NA,2.57,NA,NA,NA,2.275,2.817
"Siraha, Lahan",3.9,NA,N.A,1.9,1.1,NA,NA,NA,2.741,NA,NA,NA
"Sunsari ,Tarahara",4.5,7,6.4,6.2,N.A,6.3,NA,NA,4.775,4.608,4.55,4.616
"Surkhet ,Birendranagar",1.6,1.2,1.3,1.6,1,NA,NA,NA,NA,5.091,NA,NA
"Surkhet ,Pusmacamp",1.6,1.9,1.6,N.A,N.A,NA,NA,NA,NA,NA,NA,NA
"Taplejung, Taplejung",2.5,NA,1.5,1.8,1.7,1.7,1.68,1.68,1.683,1.366,0.2583,0.3